SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,sector,index
TOMCL,50.75,51.60,51.60,50.59,50.75,0.00,0.00%,"1,857,952",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
PIOC,396.46,397.00,398.90,383.00,386.85,-9.61,-2.42%,"1,816,816",['CEMENT'],"['ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'KMIALLSHR', 'JSMFI']"
PSX,42.65,42.65,43.39,42.30,42.91,0.26,0.61%,"1,794,594",['INV. BANKS / INV. COS. / SECURITIES COS.'],"['KSE100', 'ALLSHR', 'KSE100PR']"
SPLNC,120.20,129.88,132.22,108.18,110.42,-9.78,-8.14%,"1,713,686","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
PASLNC,3.20,3.25,3.34,3.20,3.21,0.01,0.31%,"1,670,932",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
AKBL,95.30,96.00,97.52,93.75,94.16,-1.14,-1.20%,"1,599,544",['COMMERCIAL BANKS'],"['KSE100', 'ALLSHR', 'KSE100PR']"
LOTCHEM,26.30,26.85,26.85,26.05,26.31,0.01,0.04%,"1,588,408",['CHEMICAL'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
SPWL,10.62,10.94,10.94,10.66,10.71,0.09,0.85%,"1,586,834",['POWER GENERATION & DISTRIBUTION'],"['ALLSHR', 'KMIALLSHR']"
ENGROH,215.44,217.50,217.50,213.00,215.61,0.17,0.08%,"1,567,330",['INV. BANKS / INV. COS. / SECURITIES COS.'],"['KMI30', 'NBPPGI', 'KSE30', 'MZNPI', 'NITPGI', 'ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'UPP9', 'KMIALLSHR']"
POWER,18.55,18.55,18.90,18.25,18.35,-0.20,-1.08%,"1,564,569",['CEMENT'],"['ALLSHR', 'KMIALLSHR']"
ZAL,50.76,51.50,51.85,49.45,49.52,-1.24,-2.44%,"1,552,774",['TECHNOLOGY & COMMUNICATION'],"['ALLSHR', 'KMIALLSHR']"
TCORP,23.24,25.00,25.34,20.92,21.02,-2.22,-9.55%,"1,503,098","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
KTML,66.68,67.50,68.95,64.14,65.13,-1.55,-2.32%,"1,501,957",['TEXTILE COMPOSITE'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
LUCK,471.44,478.00,478.00,468.01,475.60,4.16,0.88%,"1,475,173",['CEMENT'],"['KMI30', 'NBPPGI', 'KSE30', 'MZNPI', 'NITPGI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'KSE100PR', 'UPP9', 'KMIALLSHR']"
BAFL,104.56,105.95,106.00,103.80,105.56,1.00,0.96%,"1,455,355",['COMMERCIAL BANKS'],"['ALLSHR', 'KSE100', 'JSGBKTI', 'KSE100PR', 'PSXDIV20', 'BKTI']"
AKDSL,34.32,34.60,35.50,34.22,35.00,0.68,1.98%,"1,386,072",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
GCIL,35.01,35.60,35.75,33.50,34.80,-0.21,-0.60%,"1,383,321",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
SYS,151.26,152.00,153.95,151.00,153.39,2.13,1.41%,"1,379,274",['TECHNOLOGY & COMMUNICATION'],"['KMI30', 'NBPPGI', 'KSE30', 'NITPGI', 'ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'UPP9', 'KMIALLSHR']"
SNBL,25.35,25.79,25.80,25.10,25.19,-0.16,-0.63%,"1,372,851",['COMMERCIAL BANKS'],['ALLSHR']
WAVES,13.09,13.25,13.35,13.09,13.18,0.09,0.69%,"1,368,480",['CABLE & ELECTRICAL GOODS'],"['ALLSHR', 'KMIALLSHR']"
SNGPXD,116.83,118.00,118.80,116.30,116.48,-0.35,-0.30%,"1,358,782",['OIL & GAS MARKETING COMPANIES'],"['KMI30', 'MZNPI', 'KSE30', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
AHCL,15.31,15.35,15.60,15.30,15.48,0.17,1.11%,"1,351,076",['FERTILIZER'],"['ALLSHR', 'PSXDIV20']"
HBL,309.70,310.70,314.57,309.77,310.08,0.38,0.12%,"1,308,006",['COMMERCIAL BANKS'],"['NBPPGI', 'KSE30', 'NITPGI', 'ALLSHR', 'KSE100', 'JSGBKTI', 'KSE100PR', 'PSXDIV20', 'UPP9', 'BKTI']"
LSECL,9.00,9.03,9.25,8.63,8.77,-0.23,-2.56%,"1,279,860",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
FCSC,6.75,6.84,6.95,6.60,6.82,0.07,1.04%,"1,278,048",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
UBL,373.90,379.98,380.00,373.00,376.35,2.45,0.66%,"1,262,768",['COMMERCIAL BANKS'],"['NBPPGI', 'KSE30', 'NITPGI', 'ALLSHR', 'KSE100', 'JSGBKTI', 'KSE100PR', 'PSXDIV20', 'UPP9', 'BKTI']"
AIRLINK,174.08,176.00,176.00,173.40,173.86,-0.22,-0.13%,"1,179,447",['TECHNOLOGY & COMMUNICATION'],"['KMI30', 'ALLSHR', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
SEL,31.12,34.23,34.23,31.35,34.23,3.11,9.99%,"1,169,906",['POWER GENERATION & DISTRIBUTION'],"['ALLSHR', 'KMIALLSHR']"
EFERT,218.00,219.00,219.88,216.50,218.12,0.12,0.06%,"1,156,712",['FERTILIZER'],"['KMI30', 'NBPPGI', 'KSE30', 'NITPGI', 'ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'PSXDIV20', 'UPP9', 'KMIALLSHR']"
KOIL,34.22,34.01,35.80,33.75,34.72,0.50,1.46%,"1,156,655",['TEXTILE COMPOSITE'],['ALLSHR']
DCL,12.84,12.88,12.99,12.62,12.71,-0.13,-1.01%,"1,151,828",['CEMENT'],"['ALLSHR', 'KMIALLSHR']"
NML,149.73,151.50,152.52,149.80,150.87,1.14,0.76%,"1,142,059",['TEXTILE COMPOSITE'],"['ALLSHR', 'ACI', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
SYM,13.05,13.15,13.18,12.97,13.01,-0.04,-0.31%,"1,126,452",['TECHNOLOGY & COMMUNICATION'],"['ALLSHR', 'KMIALLSHR']"
AICL,76.14,76.20,77.00,75.26,75.98,-0.16,-0.21%,"1,109,117",['INSURANCE'],"['KSE100', 'ALLSHR', 'KSE100PR']"
LSEVLXD,7.34,7.49,7.70,7.31,7.46,0.12,1.64%,"993,859",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
IMAGE,23.96,24.07,24.60,23.99,24.51,0.55,2.30%,"945,078",['SYNTHETIC & RAYON'],"['ALLSHR', 'KMIALLSHR', 'PSXDIV20']"
UNITY,21.67,21.90,22.00,21.65,21.79,0.12,0.55%,"940,985",['FOOD & PERSONAL CARE PRODUCTS'],"['KSE100', 'ALLSHR', 'KSE100PR', 'ACI']"
SMLNC,68.10,73.80,74.91,68.10,74.91,6.81,10.00%,"938,656","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
AVN,43.11,43.80,43.80,42.70,43.01,-0.10,-0.23%,"900,740",['TECHNOLOGY & COMMUNICATION'],"['ALLSHR', 'KMIALLSHR']"
LOADS,18.00,18.11,18.35,17.93,17.99,-0.01,-0.06%,"896,899",['AUTOMOBILE PARTS & ACCESSORIES'],"['ALLSHR', 'KMIALLSHR']"
CHCC,330.37,331.10,337.90,330.12,336.52,6.15,1.86%,"823,350",['CEMENT'],"['ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
DFMLNC,23.69,24.20,24.20,23.71,23.90,0.21,0.89%,"810,780",['AUTOMOBILE ASSEMBLER'],['ALLSHR']
TPLI,20.98,21.35,23.08,20.20,22.67,1.69,8.06%,"775,487",['INSURANCE'],['ALLSHR']
CEPB,31.51,32.01,32.05,30.80,30.99,-0.52,-1.65%,"768,472","['PAPER, BOARD & PACKAGING']","['ALLSHR', 'KMIALLSHR']"
FCL,23.44,23.40,23.77,23.40,23.64,0.20,0.85%,"757,186",['CABLE & ELECTRICAL GOODS'],"['ALLSHR', 'KMIALLSHR']"
KHTC,413.24,410.01,434.99,390.00,420.78,7.54,1.83%,"741,738",['TOBACCO'],['ALLSHR']
BFAGRO,40.48,40.98,42.00,40.48,41.07,0.59,1.46%,"741,685",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
LIVEN,51.11,51.49,53.90,51.46,52.99,1.88,3.68%,"741,642",['PHARMACEUTICALS'],"['ALLSHR', 'KMIALLSHR']"
OBOYNC,9.39,9.68,9.70,9.30,9.34,-0.05,-0.53%,"712,104",['OIL & GAS MARKETING COMPANIES'],"['ALLSHR', 'KMIALLSHR']"
AGP,187.70,188.00,196.00,187.00,191.24,3.54,1.89%,"700,928",['PHARMACEUTICALS'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
SLGL,20.09,20.45,20.45,20.03,20.18,0.09,0.45%,"680,855",['TRANSPORT'],"['ALLSHR', 'KMIALLSHR']"
KOHC,103.97,104.90,105.00,102.00,103.67,-0.30,-0.29%,"680,636",['CEMENT'],"['ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
MARI,703.10,710.00,710.80,701.26,704.53,1.43,0.20%,"677,459",['OIL & GAS EXPLORATION COMPANIES'],"['KMI30', 'MZNPI', 'KSE30', 'NITPGI', 'ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'OGTI', 'NBPPGI', 'KMIALLSHR']"
GHGL,34.20,34.70,35.60,34.10,35.09,0.89,2.60%,"676,475",['GLASS & CERAMICS'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
SBL,11.46,12.61,12.61,12.61,12.61,1.15,10.04%,"654,186","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
DWTMWU,6.79,6.89,6.89,5.79,6.09,-0.70,-10.31%,"630,880","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
GGL,26.12,26.20,26.40,25.60,25.99,-0.13,-0.50%,"630,301",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
TBL,11.99,12.10,12.15,12.00,12.02,0.03,0.25%,"625,586",['AUTOMOBILE PARTS & ACCESSORIES'],"['ALLSHR', 'KMIALLSHR']"
DNCC,24.72,24.75,24.95,23.15,24.00,-0.72,-2.91%,"619,979",['CEMENT'],"['ALLSHR', 'KMIALLSHR']"
AMTEXNC,4.41,4.54,4.60,4.30,4.44,0.03,0.68%,"606,308",['TEXTILE SPINNING'],['ALLSHR']
DSLNC,7.60,7.46,7.90,7.46,7.74,0.14,1.84%,"599,063",['ENGINEERING'],['ALLSHR']
ICIBL,5.66,5.85,5.85,5.50,5.59,-0.07,-1.24%,"595,457",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
ATRL,660.80,664.00,669.00,658.30,661.34,0.54,0.08%,"559,349",['REFINERY'],"['KMI30', 'MZNPI', 'KSE30', 'ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'KMIALLSHR', 'JSMFI']"
JSCLPSA,10.00,10.25,10.25,9.80,10.00,0.00,0.00%,"558,012",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
UCAPM,6.69,6.75,7.09,6.51,6.62,-0.07,-1.05%,"546,626",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
KSBP,215.48,217.00,220.80,211.20,212.59,-2.89,-1.34%,"524,331",['ENGINEERING'],"['ALLSHR', 'KMIALLSHR']"
MZNPETF,20.26,20.30,20.83,20.30,20.68,0.42,2.07%,"524,000",['EXCHANGE TRADED FUNDS'],[]
MWMP,86.53,87.00,92.00,85.00,89.01,2.48,2.87%,"520,162",['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
HIRATNC,4.85,5.03,5.03,4.80,4.81,-0.04,-0.83%,"509,003",['TEXTILE SPINNING'],['ALLSHR']
PAKRI,16.10,16.20,16.64,16.00,16.04,-0.06,-0.37%,"492,519",['INSURANCE'],['ALLSHR']
DCR,33.64,34.00,34.10,33.50,33.67,0.03,0.09%,"492,341",['REAL ESTATE INVESTMENT TRUST'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
MCB,359.98,360.10,365.00,355.11,357.61,-2.37,-0.66%,"471,317",['COMMERCIAL BANKS'],"['KSE30', 'NITPGI', 'ALLSHR', 'KSE100', 'JSGBKTI', 'KSE100PR', 'PSXDIV20', 'NBPPGI', 'BKTI']"
FECTC,149.86,152.00,155.00,151.01,151.51,1.65,1.10%,"460,257",['CEMENT'],"['ALLSHR', 'KMIALLSHR']"
IMS,21.65,21.50,22.00,21.04,21.71,0.06,0.28%,"453,338",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
ILP,76.19,76.52,77.99,76.00,76.64,0.45,0.59%,"452,770",['TEXTILE COMPOSITE'],"['ALLSHR', 'ACI', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
ESBL,16.50,17.80,17.80,16.55,17.00,0.50,3.03%,"452,031",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
PREMA,39.45,40.00,40.00,39.30,39.35,-0.10,-0.25%,"432,879",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
ICCI,13.49,13.89,13.89,13.30,13.30,-0.19,-1.41%,"430,546",['TEXTILE WEAVING'],"['ALLSHR', 'KMIALLSHR']"
STCL,15.23,15.70,15.70,14.71,14.81,-0.42,-2.76%,"418,592",['GLASS & CERAMICS'],"['ALLSHR', 'KMIALLSHR']"
KAPCO,30.90,31.45,31.45,30.01,30.56,-0.34,-1.10%,"411,869",['POWER GENERATION & DISTRIBUTION'],"['KSE100', 'ALLSHR', 'KSE100PR']"
IBLHL,58.01,58.29,58.80,57.90,58.11,0.10,0.17%,"411,409",['PHARMACEUTICALS'],"['ALLSHR', 'KMIALLSHR']"
BIPL,32.07,32.20,32.50,32.00,32.03,-0.04,-0.12%,"408,411",['COMMERCIAL BANKS'],"['ALLSHR', 'KMIALLSHR', 'PSXDIV20']"
NRSL,32.38,33.25,34.25,32.06,32.59,0.21,0.65%,"371,500",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
BAHL,183.08,184.32,186.00,182.30,183.22,0.14,0.08%,"348,457",['COMMERCIAL BANKS'],"['KSE30', 'NITPGI', 'ALLSHR', 'KSE100', 'JSGBKTI', 'KSE100PR', 'PSXDIV20', 'NBPPGI', 'BKTI']"
ACPL,283.49,277.00,292.00,277.00,289.93,6.44,2.27%,"325,984",['CEMENT'],"['ALLSHR', 'KMIALLSHR']"
MDTLNC,4.20,4.24,4.34,4.19,4.20,0.00,0.00%,"319,836",['TECHNOLOGY & COMMUNICATION'],['ALLSHR']
LCI,298.84,302.99,303.00,295.50,296.22,-2.62,-0.88%,"312,303",['CHEMICAL'],"['ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
GAL,555.71,556.50,560.13,553.11,557.17,1.46,0.26%,"307,575",['AUTOMOBILE ASSEMBLER'],"['KMI30', 'MZNPI', 'KSE30', 'ALLSHR', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
DEL,22.85,22.52,25.14,22.40,25.14,2.29,10.02%,"293,179","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
JSBL,17.02,17.00,17.20,16.56,17.04,0.02,0.12%,"290,169",['COMMERCIAL BANKS'],['ALLSHR']
INDU,"1,985.43","1,998.00","2,014.00","1,980.00","1,988.98",3.55,0.18%,"290,047",['AUTOMOBILE ASSEMBLER'],"['KSE100', 'ALLSHR', 'KSE100PR']"
MIIETF,16.95,16.94,17.49,16.94,17.27,0.32,1.89%,"285,500",['EXCHANGE TRADED FUNDS'],[]
KML,13.85,14.49,14.49,13.00,13.70,-0.15,-1.08%,"275,669",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
GGGL,10.60,10.75,10.75,10.26,10.52,-0.08,-0.75%,"270,160",['GLASS & CERAMICS'],"['ALLSHR', 'KMIALLSHR']"
IREIT,9.72,9.72,9.85,9.72,9.78,0.06,0.62%,"262,927",['REAL ESTATE INVESTMENT TRUST'],"['ALLSHR', 'KMIALLSHR']"
YOUW,5.39,5.70,5.70,5.40,5.47,0.08,1.48%,"261,919",['TEXTILE WEAVING'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
TATM,172.46,174.00,183.00,171.60,172.75,0.29,0.17%,"260,895",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
TSMF,13.64,12.82,15.00,12.82,14.40,0.76,5.57%,"256,799",['CLOSE - END MUTUAL FUND'],['ALLSHR']
ALAC,11.68,11.69,11.81,11.50,11.53,-0.15,-1.28%,"249,994",['INSURANCE'],['ALLSHR']
EPQL,30.46,30.98,31.00,30.30,30.91,0.45,1.48%,"238,963",['POWER GENERATION & DISTRIBUTION'],"['ALLSHR', 'KMIALLSHR']"
GWLC,63.75,64.22,65.30,63.82,64.19,0.44,0.69%,"238,603",['CEMENT'],"['ALLSHR', 'KMIALLSHR']"
ANL,11.33,11.50,11.60,11.30,11.36,0.03,0.27%,"231,082",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
ITTEFAQ,8.96,9.20,9.20,8.90,9.11,0.15,1.67%,"225,524",['ENGINEERING'],"['ALLSHR', 'KMIALLSHR']"
UDLI,16.90,16.00,17.30,16.00,16.58,-0.32,-1.89%,"220,782",['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
BFBIO,152.40,153.50,154.89,152.00,152.32,-0.08,-0.05%,"211,037",['PHARMACEUTICALS'],"['ALLSHR', 'KMIALLSHR']"
HTL,52.85,53.60,54.50,52.50,54.21,1.36,2.57%,"209,766",['OIL & GAS MARKETING COMPANIES'],"['ALLSHR', 'KMIALLSHR']"
ORM,11.64,11.40,11.80,11.40,11.62,-0.02,-0.17%,"209,010",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
CRTM,26.67,26.61,27.44,26.30,26.59,-0.08,-0.30%,"203,814",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
786,12.69,12.99,13.48,12.22,13.26,0.57,4.49%,"203,695",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
GHNI,832.46,842.00,842.00,830.11,835.01,2.55,0.31%,"199,474",['AUTOMOBILE ASSEMBLER'],"['KMI30', 'KSE30', 'ALLSHR', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
MACFL,24.58,24.95,25.00,24.50,24.69,0.11,0.45%,"196,614","['PAPER, BOARD & PACKAGING']","['ALLSHR', 'KMIALLSHR']"
ICL,163.79,168.49,171.25,162.50,164.55,0.76,0.46%,"195,319",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
BRRGXD,40.00,40.59,44.00,40.00,43.14,3.14,7.85%,"191,460",['PROPERTY'],"['ALLSHR', 'KMIALLSHR']"
SPEL,55.02,55.81,56.99,55.16,55.27,0.25,0.45%,"189,042","['PAPER, BOARD & PACKAGING']","['ALLSHR', 'KMIALLSHR']"
