SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,sector,index
SFL,"1,299.05","1,271.02","1,271.02","1,271.00","1,271.02",-28.03,-2.16%,41,['TEXTILE COMPOSITE'],['ALLSHR']
MEHT,295.49,293.00,314.00,293.00,295.49,0.00,0.00%,36,['TEXTILE COMPOSITE'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
ASLPS,22.67,21.00,24.29,21.00,22.67,0.00,0.00%,30,['ENGINEERING'],['ALLSHR']
FIMM,261.41,252.00,259.99,252.00,261.41,0.00,0.00%,30,['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
SANSM,63.12,63.12,63.12,63.12,63.12,0.00,0.00%,30,['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
ISIL,"1,948.02","1,982.50","1,982.50","1,979.99","1,980.00",31.98,1.64%,28,['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
PIAHCLB,"24,379.00","24,990.00","24,990.00","24,101.00","24,483.98",104.98,0.43%,23,['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
UPFL,"28,542.67","29,790.00","29,790.00","28,000.00","29,198.99",656.32,2.30%,21,['FOOD & PERSONAL CARE PRODUCTS'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
BHAT,868.74,869.00,869.00,869.00,868.74,0.00,0.00%,15,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
KPUS,141.34,149.98,149.98,149.96,141.34,0.00,0.00%,14,['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
HPL,"4,218.50","4,278.00","4,359.50","4,218.51","4,334.82",116.32,2.76%,13,['PHARMACEUTICALS'],"['ALLSHR', 'KMIALLSHR']"
IBFL,285.37,285.00,285.00,283.00,285.37,0.00,0.00%,12,['SYNTHETIC & RAYON'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
STL,"1,529.88","1,520.01","1,569.99","1,520.01","1,529.88",0.00,0.00%,8,['TECHNOLOGY & COMMUNICATION'],"['ALLSHR', 'KMIALLSHR']"
SAPT,"1,334.90","1,420.00","1,420.00","1,420.00","1,334.90",0.00,0.00%,6,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
STJT,107.14,107.00,114.90,101.30,107.14,0.00,0.00%,4,['TEXTILE WEAVING'],"['ALLSHR', 'KMIALLSHR']"
TSML,192.09,207.94,207.94,206.99,192.09,0.00,0.00%,4,['SUGAR & ALLIED INDUSTRIES'],['ALLSHR']
HUSI,26.09,26.08,26.08,26.08,26.09,0.00,0.00%,3,['PROPERTY'],['ALLSHR']
KHYT,"1,795.21","1,640.00","1,725.01","1,620.00","1,795.21",0.00,0.00%,3,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
JKSM,196.00,196.00,196.00,196.00,196.00,0.00,0.00%,2,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
REWM,184.34,184.75,184.75,184.33,184.34,0.00,0.00%,2,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
AKGL,55.05,54.01,54.01,54.01,55.05,0.00,0.00%,1,['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
JSGCL,146.00,158.79,158.79,158.79,146.00,0.00,0.00%,1,['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
RCML,529.19,505.00,505.00,505.00,529.19,0.00,0.00%,1,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
SHJS,185.01,191.85,191.85,191.85,185.01,0.00,0.00%,1,['SUGAR & ALLIED INDUSTRIES'],['ALLSHR']
